token,occurrences,total_weight_toward_negative,mean_weight_toward_negative
any code,1,0.0385,0.0385
in full,1,0.0384,0.03839
in full screen,1,0.0384,0.03839
require,2,0.0767,0.03837
far,2,0.0765,0.03827
total,2,0.0763,0.03817
of those,1,0.038,0.03797
click,2,0.0759,0.03795
sorts,1,0.0379,0.03791
the screen,1,0.0379,0.0379
clean,1,0.0379,0.0379
it up,2,0.0756,0.03782
aside,3,0.1134,0.03781
i hit,1,0.0377,0.03772
reference to an,1,0.0376,0.03762
button,1,0.0376,0.0376
both,2,0.0751,0.03756
here s the,1,0.0373,0.0373
deal,1,0.0372,0.03717
which is,3,0.1115,0.03717
can anyone,2,0.0743,0.03715
legacy,1,0.0371,0.03714
a very,1,0.0371,0.0371
you say,1,0.037,0.03704
not like,1,0.037,0.03698
much easier,1,0.0369,0.03694
alt,1,0.0369,0.03689
the location,1,0.0369,0.03687
which has,1,0.0367,0.03673
developing,2,0.0734,0.03668
copy,1,0.0366,0.03661
to open,1,0.0366,0.03657
there any,8,0.2924,0.03654
dependency,1,0.0365,0.03652
fact,2,0.073,0.03648
from the server,1,0.0363,0.03626
be an,1,0.0362,0.03621
field,5,0.1808,0.03616
passing,2,0.0723,0.03615
is that it,1,0.0361,0.03607
join,1,0.0359,0.03593
minutes it,1,0.0359,0.03585
of what,1,0.0358,0.03584
templates,2,0.0717,0.03583
will get,1,0.0358,0.0358
window,2,0.0714,0.03571
the model,1,0.0357,0.03566
cpu,2,0.0713,0.03563
not see,3,0.1069,0.03562
all that,2,0.0707,0.03536
this function,1,0.0353,0.03533
item,1,0.0353,0.0353
field is,1,0.0353,0.0353
i find it,1,0.0353,0.03526
want,19,0.6683,0.03518
do not understand,1,0.0351,0.03511
detect,1,0.035,0.035
turned off,1,0.035,0.03496
i ll,1,0.0348,0.03481
no need,1,0.0348,0.03478
long as you,2,0.0695,0.03473
using a,4,0.1383,0.03456
on a,4,0.1382,0.03455
in some,2,0.0691,0.03454
we do,1,0.0344,0.03443
easier to,1,0.0343,0.03426
but when,2,0.0683,0.03417
this way,1,0.0341,0.03415
classic,1,0.0341,0.03414
behind,2,0.0681,0.03407
if it is,1,0.0341,0.03405
and pass,1,0.034,0.03397
and if,2,0.0679,0.03394
member,2,0.0677,0.03384
want to have,1,0.0337,0.03375
does anyone have,1,0.0337,0.03372
gui,2,0.0674,0.03368
whats,1,0.0335,0.0335
sets,3,0.1003,0.03344
there for,1,0.0334,0.03338
build is,1,0.0333,0.03327
black,1,0.0332,0.03323
presentation,2,0.0665,0.03323
firefox,3,0.0996,0.03319
form,5,0.1658,0.03315
you try,1,0.0331,0.03314
from ?,1,0.0331,0.03313
then you can,1,0.0331,0.03309
be found,1,0.0331,0.03306
if you re,4,0.1321,0.03301
the most common,1,0.033,0.03298
relevant,1,0.033,0.03298
on the,12,0.3948,0.0329
ensure,1,0.0329,0.0329
it s a,1,0.0328,0.03276
normally,1,0.0327,0.03275
malicious,3,0.0979,0.03263
needs,1,0.0326,0.03263
array of,1,0.0325,0.03252
subject,1,0.0325,0.03248
web page,1,0.0323,0.03235
find it,1,0.0323,0.03228
going to be,2,0.0645,0.03226
suspect,1,0.0322,0.03218
that do not,1,0.0321,0.03211
invalid,1,0.0321,0.0321
to call,1,0.0319,0.03185
going on,1,0.0318,0.03184
? does,2,0.0636,0.03181
the main,2,0.0636,0.0318
mode,3,0.0949,0.03164
tell,4,0.1263,0.03158
about using,1,0.0315,0.03149
figure out,1,0.0314,0.03142
just,23,0.7209,0.03134
origin,1,0.0313,0.03127
point out,1,0.0311,0.03113
s incredibly,1,0.0311,0.03112
or to,1,0.0311,0.0311
a long,1,0.0311,0.03109
so on,1,0.031,0.03105
to get it,2,0.0621,0.03103
what are the,1,0.0309,0.03091
old,3,0.0925,0.03084
any ideas ?,1,0.0308,0.0308
arrow,1,0.0308,0.03078
fact that,1,0.0307,0.03067
app,5,0.1528,0.03057
more,13,0.3958,0.03045
about a,1,0.0304,0.03039
answers,1,0.0303,0.03035
access,4,0.1214,0.03034
a simple,2,0.0605,0.03023
x 86,1,0.0302,0.03016
of php,1,0.0301,0.0301
are a,1,0.0301,0.03006
space,2,0.0598,0.02991
also use,1,0.0299,0.02989
s a,3,0.0895,0.02983
limits,1,0.0298,0.0298
you had,1,0.0297,0.02968
be the,1,0.0296,0.02965
i try to,1,0.0296,0.02963
to have a,2,0.0592,0.02958
style,1,0.0295,0.02947
server does,1,0.0293,0.02933
serious,1,0.0293,0.02929
could be,1,0.0292,0.02917
i do not,8,0.2331,0.02913
you will have,1,0.0291,0.0291
offline,1,0.0291,0.02907
the browser,1,0.029,0.02903
it it,1,0.029,0.02901
in mind,2,0.0578,0.02891
many of,2,0.0577,0.02884
always,3,0.0864,0.02881
include,2,0.0576,0.02881
use it in,1,0.0288,0.02881
if this,3,0.0862,0.02873
print,2,0.0573,0.02865
understand,3,0.0858,0.02862
name and,1,0.0286,0.02861
output is,1,0.0285,0.02852
scenarios,1,0.0285,0.02846
the user,2,0.0569,0.02844
time i,3,0.0847,0.02822
in your,3,0.0844,0.02813
sql,7,0.1966,0.02808
answers below,1,0.028,0.02803
on the right,1,0.028,0.02802
of the c,1,0.0279,0.02787
to using the,1,0.0277,0.02771
from,18,0.4983,0.02769
settings,1,0.0276,0.02761
visual studio,2,0.0552,0.02761
a column,2,0.0552,0.0276
a php,1,0.0275,0.02755
maybe this,1,0.0275,0.02751
does not work,1,0.0274,0.02736
from the user,1,0.0273,0.02735
concerned,1,0.0273,0.02726
without using,2,0.0544,0.02719
export,1,0.0271,0.02715
includes,1,0.0269,0.02688
point of,2,0.0537,0.02687
afraid i do,1,0.0269,0.02687
it that,1,0.0268,0.02682
of doing,1,0.0267,0.02673
to query,1,0.0267,0.02672
some people,2,0.0531,0.02655
which would,1,0.0265,0.02654
file but,1,0.0265,0.02653
s just,1,0.0265,0.0265
stream,1,0.0265,0.02648
to different,1,0.0265,0.02647
finding,3,0.0791,0.02638
get,16,0.4216,0.02635
you can not,1,0.0263,0.02634
so i,4,0.105,0.02624
? i would,1,0.0262,0.02619
has,19,0.4963,0.02612
outside the,3,0.0778,0.02595
stopped,1,0.0259,0.02595
indent,1,0.0258,0.02578
think,8,0.2059,0.02574
a result,1,0.0257,0.02572
post,5,0.1285,0.02569
would be to,1,0.0257,0.02568
of objects,2,0.0511,0.02554
to do,7,0.178,0.02543
are there any,4,0.1015,0.02537
are there,4,0.101,0.02525
term,1,0.0252,0.0252
test case,1,0.0252,0.02516
defined the,1,0.0251,0.02509
into this,1,0.0248,0.02483
i personally,1,0.0248,0.0248
a reference to,1,0.0247,0.02467
better way,1,0.0246,0.02462
a better way,1,0.0246,0.02462
to to,2,0.049,0.02451
understand the,1,0.0245,0.0245
the live,1,0.0244,0.02443
forms,1,0.0244,0.02443
it you,1,0.0244,0.02441
being,4,0.0973,0.02432
and i,4,0.0972,0.02431
look,10,0.2428,0.02428
i do ?,1,0.0243,0.02426
that does,2,0.0484,0.02422
but the,1,0.0242,0.02418
ubuntu,1,0.0241,0.02412
out what,1,0.024,0.02405
bit of a,1,0.024,0.02404
i dont,1,0.024,0.02402
javascript can,1,0.0239,0.02393
and,62,1.4747,0.02379
run ?,1,0.0237,0.02371
having a,1,0.0237,0.02366
the function is,1,0.0236,0.02364
CODE if,1,0.0234,0.0234
if there is,2,0.0466,0.0233
work,17,0.3936,0.02315
to everything,1,0.0231,0.02313
are currently,1,0.0231,0.02311
you want,4,0.0923,0.02308
should be worried,1,0.023,0.02304
though i,1,0.023,0.02295
worked with,1,0.0229,0.02289
worried about the,1,0.0229,0.02286
left,1,0.0228,0.02281
to return,3,0.0684,0.02278
render,1,0.0226,0.02262
to see how,1,0.0224,0.02235
with no,1,0.0223,0.02233
want to copy,1,0.0221,0.0221
using the,3,0.0658,0.02195
going to,2,0.0439,0.02195
most common,1,0.0219,0.02189
you have the,2,0.0437,0.02187
then you,5,0.1086,0.02171
making,1,0.0216,0.02163
make it work,1,0.0216,0.02161
actual,2,0.043,0.02152
run into,1,0.0215,0.02151
my video,1,0.0215,0.02151
to figure,2,0.0429,0.02146
replace the,1,0.0214,0.02144
android app,1,0.0214,0.02143
android,1,0.0214,0.02139
in the,16,0.3416,0.02135
? if you,2,0.0426,0.02132
them from,1,0.0212,0.02124
it may,1,0.0212,0.02122
not just,2,0.0424,0.0212
i e,3,0.0635,0.02116
functionality that,1,0.0211,0.02108
ideas ?,1,0.0209,0.02093
clear,1,0.0209,0.02086
menu,1,0.0208,0.02082
having,3,0.0623,0.02078
that no,1,0.0207,0.02074
produce,1,0.0205,0.02054
that s a,1,0.0205,0.02054
happen,1,0.0205,0.02047
in the end,1,0.0203,0.02034
must be,1,0.0203,0.02034
assume,1,0.0203,0.0203
on any,1,0.0203,0.02029
surely this,1,0.0202,0.02022
a view,1,0.0201,0.02009
to move,1,0.0199,0.01992
shows the,2,0.0398,0.01989
a google,1,0.0199,0.01987
function is,4,0.0793,0.01982
that are,2,0.0395,0.01973
click the,1,0.0197,0.01969
any way to,1,0.0196,0.01959
start i,1,0.0195,0.01947
excuses ! URL,1,0.0194,0.01945
few,2,0.0389,0.01943
and do,1,0.0194,0.01937
libraries,2,0.0387,0.01936
sure,3,0.0579,0.01932
when your,2,0.0386,0.01929
the strings,1,0.0192,0.01923
because i want,1,0.0192,0.01917
web application,1,0.0189,0.01889
are at,1,0.0189,0.01886
of your,4,0.0754,0.01885
on an,1,0.0188,0.01878
to be,7,0.1315,0.01878
included,1,0.0188,0.01877
with all,2,0.0373,0.01866
to figure out,1,0.0186,0.0186
causing,1,0.0185,0.01846
method in,1,0.0184,0.01838
resource,1,0.0184,0.01837
g,2,0.0366,0.01832
site and,1,0.0182,0.01817
an appropriate,1,0.0181,0.01811
what you,1,0.0181,0.01809
repeat,1,0.0181,0.01808
zip file,1,0.0181,0.01806
not how,1,0.018,0.01801
an old,1,0.018,0.01798
hi i,1,0.0179,0.0179
! is there,1,0.0179,0.01786
production,1,0.0177,0.01772
86,1,0.0176,0.01757
breakpoints,1,0.0176,0.01757
an issue with,1,0.0175,0.01754
not possible to,1,0.0175,0.01753
later i,1,0.0174,0.01744
confusing,1,0.0174,0.01743
in terms,1,0.0174,0.01741
in terms of,1,0.0174,0.01741
i m working,1,0.0174,0.0174
m working,1,0.0174,0.0174
ordered,1,0.0173,0.01734
get it,2,0.0346,0.01729
executes,1,0.0173,0.01727
similar to,2,0.0342,0.01712
it just a,1,0.017,0.01703
using,25,0.4226,0.0169
windows,4,0.0675,0.01689
i run,1,0.0169,0.01686
want to add,1,0.0169,0.01686
i m currently,1,0.0168,0.01683
m currently,1,0.0168,0.01683
when it,1,0.0168,0.01677
developed,1,0.0167,0.01673
the how,1,0.0166,0.01664
of them,2,0.0333,0.01664
? i m,4,0.0665,0.01662
because there are,2,0.0332,0.01661
the field,2,0.0331,0.01654
we have a,1,0.0165,0.0165
1 to,1,0.0165,0.01648
to using,1,0.0164,0.01643
sql server,3,0.0493,0.01643
case,9,0.1477,0.01641
no need to,1,0.0164,0.01637
to this,1,0.0162,0.01621
do not need,4,0.0648,0.0162
or,28,0.4532,0.01618
i ve,5,0.0805,0.0161
include a,1,0.0161,0.01609
the,137,2.1938,0.01601
site,3,0.0479,0.01598
one thing,1,0.016,0.01597
want an,1,0.0159,0.01594
user,6,0.0954,0.0159
filename,1,0.0159,0.0159
spaces,1,0.0159,0.01586
this without,1,0.0158,0.01583
e g,1,0.0158,0.01583
websites,2,0.0316,0.0158
a solution ?,1,0.0158,0.01577
the column,1,0.0158,0.01576
does,18,0.2836,0.01576
in to,1,0.0157,0.01573
mfc,1,0.0156,0.01564
dont,1,0.0156,0.01563
tell me,1,0.0155,0.01554
a video,1,0.0155,0.01554
wanted to,3,0.0465,0.01551
? how,2,0.031,0.0155
can i do,2,0.031,0.01548
distribution,1,0.0155,0.01546
work with,2,0.0308,0.01541
the client,1,0.0153,0.01532
this is an,2,0.0306,0.01532
deploying,1,0.0153,0.01528
i d,6,0.0913,0.01522
that is what,1,0.0152,0.01519
not work,4,0.0607,0.01517
you get,1,0.0151,0.01513
! URL,1,0.015,0.01502
are all,1,0.015,0.01502
can have,1,0.0149,0.01488
by using,1,0.0149,0.01488
a character,1,0.0149,0.01488
sequence,3,0.0445,0.01484
always use,1,0.0148,0.01483
being able to,1,0.0148,0.01477
being able,1,0.0148,0.01477
need to make,1,0.0148,0.01476
home,1,0.0148,0.01476
scripting,1,0.0147,0.01468
i load,1,0.0147,0.01465
at once,1,0.0146,0.01463
not have,3,0.0439,0.01462
a similar,1,0.0145,0.0145
in vb,1,0.0145,0.01449
? for,1,0.0144,0.01442
did you,4,0.0576,0.01441
make it a,1,0.0144,0.01439
before the,1,0.0144,0.01437
note,5,0.0714,0.01428
ended,2,0.0285,0.01423
marked,1,0.0142,0.01419
which i,1,0.0141,0.01414
in,65,0.9186,0.01413
code to,2,0.0282,0.01408
pulling,1,0.014,0.01401
least,4,0.056,0.01401
to use the,2,0.028,0.01399
tend,1,0.0138,0.01381
one to,2,0.0276,0.01381
tend to,1,0.0138,0.01381
file the,2,0.0276,0.0138
designer,1,0.0138,0.01379
objects that,1,0.0137,0.0137
turned,1,0.0137,0.01367
in sql,3,0.0405,0.01351
too many,3,0.0405,0.01351
it takes,1,0.0134,0.01342
file which,1,0.0133,0.01332
want the,1,0.0133,0.0133
difference,6,0.0796,0.01327
m new to,1,0.0131,0.01311
e,4,0.0524,0.01309
happening ?,1,0.0131,0.01306
you were,1,0.013,0.01302
creation,2,0.026,0.01301
hit the,1,0.0129,0.01295
time and,1,0.0129,0.01292
that i need,1,0.0129,0.01292
go with,1,0.0128,0.01276
construct,1,0.0126,0.01264
white,1,0.0126,0.01257
web server,1,0.0126,0.01256
rejecting,1,0.0125,0.0125
or some,1,0.0123,0.01235
win 32,1,0.0123,0.01233
need to worry,3,0.037,0.01232
m going to,2,0.0245,0.01227
looking,7,0.0858,0.01226
so i can,1,0.0122,0.01216
which are,1,0.0122,0.01216
ok i,1,0.012,0.01202
if you really,1,0.012,0.01201
side,3,0.0357,0.0119
i find this,2,0.0238,0.01189
that does not,1,0.0119,0.01187
you what,1,0.0118,0.01183
it but,1,0.0118,0.01182
get it to,1,0.0118,0.01179
a single,1,0.0117,0.01174
which,18,0.2109,0.01172
it even,1,0.0117,0.01166
you really want,1,0.0115,0.01148
the parsing,1,0.0115,0.01146
avoid,2,0.0228,0.0114
you can try,1,0.0114,0.01139
can try,1,0.0114,0.01139
table in,1,0.0114,0.01139
group,1,0.0113,0.01128
s,38,0.427,0.01124
ilist,1,0.0112,0.01118
there a better,1,0.0111,0.01105
intel,1,0.0109,0.01087
if not,2,0.0217,0.01084
any suggestions ?,1,0.0108,0.0108
the global,1,0.0108,0.01079
author,1,0.0108,0.01078
for such,1,0.0108,0.01077
not have any,1,0.0107,0.01069
one,17,0.1806,0.01062
not need,4,0.0424,0.0106
mvc,1,0.0106,0.01055
to export,1,0.0105,0.01052
a way,5,0.0525,0.0105
change the,1,0.0105,0.01046
to work with,1,0.0104,0.01037
and run,1,0.0103,0.0103
surface,1,0.0103,0.01029
as that,1,0.0101,0.01014
work for,3,0.0302,0.01007
recommendation,1,0.0099,0.00994
is a google,1,0.0099,0.00992
addition,1,0.0099,0.00988
would it be,1,0.0099,0.00986
because there,2,0.0197,0.00985
some good,1,0.0097,0.00966
file,12,0.1155,0.00962
pages,1,0.0096,0.00962
perform,1,0.0096,0.00961
application,13,0.1248,0.0096
about,30,0.2879,0.0096
but i m,3,0.0286,0.00955
you just,1,0.0095,0.00951
on,42,0.388,0.00924
keys,3,0.0274,0.00912
to get,8,0.0728,0.0091
for c,1,0.009,0.00898
the input,1,0.0089,0.00893
map,2,0.0178,0.00888
to which,1,0.0089,0.00887
to it,1,0.0088,0.00884
answer from,1,0.0088,0.00878
very old,1,0.0088,0.00877
a little,1,0.0087,0.0087
urls,2,0.0174,0.00868
storage,1,0.0086,0.00856
testing,4,0.0341,0.00853
add this,1,0.0083,0.00832
just do,2,0.0166,0.00831
to,100,0.8285,0.00829
i need,2,0.0165,0.00824
tried it,1,0.0082,0.00823
i m new,1,0.0081,0.00808
m new,1,0.0081,0.00808
this has,2,0.0161,0.00805
doing,5,0.0402,0.00804
has been,2,0.016,0.00801
3,7,0.0559,0.00799
refreshing,1,0.0079,0.00795
not been,1,0.008,0.00795
to add this,1,0.0079,0.00786
about is,1,0.0078,0.00781
you may,1,0.0077,0.00766
info on,1,0.0075,0.00754
pop up,1,0.0075,0.00751
structure,3,0.0222,0.00739
2013,2,0.0146,0.00729
like to have,1,0.0072,0.0072
even possible,2,0.0143,0.00717
than,8,0.0571,0.00714
a windows,1,0.0071,0.0071
currently using,1,0.007,0.00699
time to,1,0.007,0.00698
optimizations,1,0.0069,0.00693
i m looking,1,0.0069,0.00691
m looking,1,0.0069,0.00691
collection,1,0.0069,0.00689
will let,1,0.0069,0.00687
not see the,1,0.0068,0.0068
vb net,1,0.0067,0.00669
me the,1,0.0066,0.00664
? how can,1,0.0066,0.00663
the response,2,0.0131,0.00656
creating,1,0.0065,0.00652
the c,1,0.0065,0.00651
has its,1,0.0064,0.00645
reach,1,0.0065,0.00645
the top of,2,0.0127,0.00636
to compile,1,0.0064,0.00636
response,3,0.019,0.00634
a multi,1,0.0063,0.00633
front,1,0.0063,0.00631
from an,1,0.0063,0.0063
zip,1,0.0063,0.0063
should also,1,0.0062,0.00621
there a way,2,0.0123,0.00614
is there any,4,0.0239,0.00598
in order to,1,0.006,0.00596
order to,1,0.006,0.00596
ended up,1,0.006,0.00596
to make the,1,0.0059,0.00593
to the database,1,0.0059,0.00592
right click the,1,0.0059,0.00589
the one that,1,0.0058,0.00582
the bytes,1,0.0057,0.0057
the class,2,0.0114,0.00569
an exception,1,0.0057,0.00568
note that,2,0.0112,0.0056
effects,1,0.0054,0.00543
code on,1,0.0053,0.00532
is it just,1,0.0053,0.00526
an android,1,0.0052,0.00518
the actual,1,0.0051,0.0051
to avoid,1,0.0051,0.00509
at the,4,0.02,0.00499
to your,3,0.0147,0.00491
is happening ?,1,0.0048,0.00484
recommendations,1,0.0048,0.00481
make my,1,0.0047,0.00472
seem to get,1,0.0047,0.0047
read,8,0.0376,0.0047
an interface,1,0.0046,0.00462
why do,2,0.0092,0.00462
pause,1,0.0045,0.00452
for an,1,0.0045,0.00446
m working with,1,0.0044,0.00438
just take,1,0.0043,0.00435
much time,1,0.0043,0.00428
second,2,0.0086,0.00428
make a,2,0.0084,0.00422
syntax is,1,0.0042,0.0042
right but,1,0.0042,0.00418
happening,1,0.0041,0.00414
i need to,1,0.0041,0.00412
of the current,1,0.004,0.00401
a year old,1,0.0039,0.00391
and a,1,0.0039,0.00389
are the,1,0.0039,0.00389
that link,1,0.0039,0.00388
load the,2,0.0077,0.00386
would make,1,0.0039,0.00385
blob,1,0.0039,0.00385
change,3,0.0115,0.00382
swing,1,0.0037,0.00372
the other,3,0.0111,0.00371
dreaded,1,0.0037,0.00371
let s,1,0.0037,0.00367
0 and,1,0.0037,0.00366
character sets,2,0.0073,0.00365
absolute minimum,2,0.0073,0.00365
about unicode,2,0.0073,0.00365
character sets no,2,0.0073,0.00365
unicode and character,2,0.0073,0.00365
absolute minimum every,2,0.0073,0.00365
and character,2,0.0073,0.00365
absolutely positively must,2,0.0073,0.00365
and character sets,2,0.0073,0.00365
about unicode and,2,0.0073,0.00365
positively must know,2,0.0073,0.00365
excuses,2,0.0073,0.00365
minimum every software,2,0.0073,0.00365
minimum every,2,0.0073,0.00365
must know about,2,0.0073,0.00365
developer absolutely,2,0.0073,0.00365
know about unicode,2,0.0073,0.00365
no excuses,2,0.0073,0.00365
no excuses !,2,0.0073,0.00365
software developer absolutely,2,0.0073,0.00365
excuses !,2,0.0073,0.00365
software developer,2,0.0073,0.00365
the absolute,2,0.0073,0.00365
must know,2,0.0073,0.00365
positively must,2,0.0073,0.00365
sets no excuses,2,0.0073,0.00365
developer absolutely positively,2,0.0073,0.00365
the absolute minimum,2,0.0073,0.00365
every software,2,0.0073,0.00365
every software developer,2,0.0073,0.00365
sets no,2,0.0073,0.00365
encrypted,1,0.0036,0.00362
effect,2,0.0072,0.00362
primary,1,0.0036,0.0036
return the,1,0.0035,0.00348
makes it,1,0.0035,0.00346
case i,2,0.0069,0.00343
thus,1,0.0034,0.00339
it should,2,0.0067,0.00335
paths,1,0.0034,0.00335
is easy,1,0.0033,0.00333
them to the,1,0.0033,0.00332
if it s,1,0.0033,0.00329
used in,4,0.013,0.00324
much better,1,0.0031,0.00315
the standard,1,0.0031,0.00309
works for,1,0.0031,0.00307
page i,1,0.003,0.00304
you re using,1,0.003,0.00301
evidently,1,0.0029,0.00285
overhead of,1,0.0028,0.00279
that i m,1,0.0028,0.00276
i want,7,0.0192,0.00274
string into,1,0.0027,0.00274
and it,2,0.0054,0.00268
released,1,0.0026,0.00262
it only,1,0.0026,0.00259
size,3,0.0072,0.00239
the least,2,0.0048,0.00239
in my experience,1,0.0024,0.00237
an integer,1,0.0024,0.00237
it this,1,0.0023,0.00231
takes,1,0.0023,0.00228
to copy,1,0.0021,0.00214
thing that,1,0.0021,0.0021
a web,1,0.0021,0.00209
have been,2,0.004,0.00201
that is the,1,0.002,0.00201
to follow the,1,0.002,0.002
a solution,1,0.0019,0.0019
debug the,1,0.0018,0.00185
? if not,1,0.0018,0.00183
page so,1,0.0017,0.00172
our,1,0.0016,0.00157
way to create,1,0.0015,0.00152
a named,1,0.0014,0.00145
host,2,0.0028,0.00141
see,9,0.0126,0.0014
i am developing,1,0.0014,0.00139
am developing,1,0.0014,0.00139
head,1,0.0013,0.00127
then i,2,0.0024,0.00119
it also,1,0.0011,0.00107
if all,2,0.0021,0.00104
be extremely,2,0.0019,0.00097
appearing,1,0.0009,0.00095
is that you,1,0.0009,0.00093
that it has,1,0.0009,0.00088
managed,2,0.0017,0.00085
it i,1,0.0008,0.00084
way to see,1,0.0008,0.00082
be to,1,0.0007,0.00074
parse,1,0.0007,0.00067
think about,1,0.0007,0.00066
s only,1,0.0006,0.00063
it be,1,0.0006,0.0006
shows,3,0.0015,0.0005
in this case,1,0.0005,0.00048
to re,1,0.0005,0.00046
and start,1,0.0005,0.00046
xml file,1,0.0004,0.00044
go to,3,0.0013,0.00043
wondering how,1,0.0004,0.00039
sample code,1,0.0004,0.00036
do anything,1,0.0003,0.00031
want to,13,0.004,0.00031
with it,1,0.0003,0.00031
open a,1,0.0003,0.00027
m not sure,1,0.0002,0.00024
operating,1,0.0002,0.0002
it this way,1,0.0001,0.00013
that as,1,0.0001,0.0001
creates,1,0.0001,5e-05
here i,2,0.0,0.0
speed,2,-0.0,-2e-05
place,2,-0.0001,-4e-05
fields,1,-0.0001,-5e-05
a virtual machine,1,-0.0001,-5e-05
customize,1,-0.0001,-7e-05
every time i,1,-0.0001,-0.00013
of any,1,-0.0002,-0.00024
far as,1,-0.0003,-0.00027
as far as,1,-0.0003,-0.00027
as far,1,-0.0003,-0.00027
i m trying,1,-0.0003,-0.00034
m trying,1,-0.0003,-0.00034
i would do,1,-0.0005,-0.00048
arbitrary,1,-0.0005,-0.0005
90,1,-0.0005,-0.00052
compiler,1,-0.0005,-0.00054
of them are,1,-0.0006,-0.00055
them are,1,-0.0006,-0.00055
will allow,1,-0.0006,-0.00058
on all,1,-0.0006,-0.00064
as an,2,-0.0017,-0.00085
near,1,-0.0009,-0.00086
screenshot,1,-0.001,-0.00098
is not the,1,-0.0011,-0.00108
go,8,-0.0086,-0.00108
matrix,1,-0.0011,-0.0011
changing,2,-0.0022,-0.0011
of which,1,-0.0011,-0.00114
in order,1,-0.0012,-0.00119
overhead,1,-0.0012,-0.00122
all you,1,-0.0014,-0.00135
is working,1,-0.0014,-0.00135
txt,1,-0.0014,-0.00138
no longer,1,-0.0014,-0.00144
level,1,-0.0015,-0.00147
happens,1,-0.0015,-0.00148
when i do,1,-0.0015,-0.00149
ways to,1,-0.0015,-0.00151
string in,1,-0.0016,-0.00161
an array of,1,-0.0017,-0.0017
i guess,2,-0.0035,-0.00173
you should,4,-0.0071,-0.00179
messages,1,-0.0018,-0.00179
provide,1,-0.0019,-0.00191
after a,1,-0.002,-0.00197
constantly,1,-0.002,-0.00199
the original,4,-0.008,-0.002
properties,1,-0.002,-0.00203
so what,1,-0.0021,-0.00209
this to work,1,-0.0021,-0.0021
obvious,1,-0.0021,-0.00212
4 0,1,-0.0023,-0.00226
like to know,2,-0.0046,-0.00229
tests,1,-0.0023,-0.00231
absolutely positively,2,-0.0047,-0.00233
positively,2,-0.0047,-0.00233
found,1,-0.0024,-0.00236
hi,1,-0.0024,-0.00237
the only,1,-0.0024,-0.00239
is shown,1,-0.0024,-0.00243
this time,1,-0.0026,-0.0026
to see,1,-0.0026,-0.00261
way to,9,-0.0236,-0.00262
their own,1,-0.0026,-0.00264
in vb net,1,-0.0026,-0.00264
to use this,1,-0.0027,-0.00271
a list,3,-0.0082,-0.00273
there s,2,-0.0056,-0.00278
way of,1,-0.0028,-0.00281
access to the,1,-0.003,-0.00297
but i can,1,-0.0031,-0.00307
i m going,2,-0.0062,-0.00309
m going,2,-0.0062,-0.00309
unicode and,2,-0.0062,-0.0031
them ?,1,-0.0032,-0.00317
application and,2,-0.0065,-0.00327
spring,1,-0.0033,-0.00329
changes to,1,-0.0034,-0.00335
and all,1,-0.0034,-0.00339
leaves,1,-0.0034,-0.00339
to understand,1,-0.0034,-0.0034
any ideas,1,-0.0035,-0.00349
putting,1,-0.0035,-0.0035
open source,1,-0.0035,-0.00352
objective,1,-0.0035,-0.00352
use the,6,-0.0212,-0.00353
stop,2,-0.0071,-0.00353
to include,1,-0.0035,-0.00355
it will not,1,-0.0036,-0.00364
that make,1,-0.0037,-0.00371
out a,2,-0.0075,-0.00376
what should i,1,-0.0038,-0.00383
should i do,1,-0.0038,-0.00383
based on,1,-0.0039,-0.00388
so that i,1,-0.004,-0.00401
you open,1,-0.0042,-0.00415
m using the,1,-0.0043,-0.00428
it a,1,-0.0043,-0.00433
half,2,-0.0089,-0.00445
that you,2,-0.0089,-0.00445
it much,1,-0.0045,-0.00449
s why,1,-0.0045,-0.0045
written in,1,-0.0045,-0.00451
you will,2,-0.0092,-0.00459
it working,1,-0.0046,-0.00461
to an,2,-0.0092,-0.00461
a document,1,-0.0047,-0.00469
do you,5,-0.0234,-0.00469
typing,1,-0.0047,-0.0047
CODE CODE,1,-0.0047,-0.00471
i expect,1,-0.0048,-0.00476
the terminal,1,-0.0048,-0.00476
context,2,-0.0096,-0.0048
you are,8,-0.0386,-0.00483
any suggestions,1,-0.0049,-0.00489
run into this,1,-0.0049,-0.0049
a way to,4,-0.0198,-0.00495
in the database,1,-0.005,-0.00502
an example,1,-0.0051,-0.00507
with a,4,-0.0205,-0.00511
those,3,-0.0158,-0.00527
using an,3,-0.0165,-0.0055
is what,1,-0.0055,-0.00552
a custom,1,-0.0055,-0.00554
creating a,1,-0.0056,-0.0056
combinations,1,-0.0057,-0.00566
desktop,1,-0.0057,-0.00567
make sure,1,-0.0057,-0.00567
performance,6,-0.0341,-0.00568
for example,5,-0.0285,-0.0057
relationship,1,-0.0057,-0.00571
keeps,1,-0.0057,-0.00571
lying,1,-0.0057,-0.00572
one that,1,-0.0058,-0.00581
the point,1,-0.0058,-0.00583
becomes,1,-0.0059,-0.00589
as well,1,-0.0059,-0.00592
to a,8,-0.0483,-0.00604
that you have,1,-0.0061,-0.00609
python,2,-0.0122,-0.0061
for testing,1,-0.0061,-0.00612
ve,5,-0.0307,-0.00614
up the,1,-0.0062,-0.00619
containing,2,-0.0125,-0.00624
something similar,1,-0.0063,-0.00626
http,3,-0.0189,-0.00631
reason,1,-0.0063,-0.00633
